NOTE #,SECTOR,RAD DIST,ANGLE (RAD),DIAMETER,SECTOR DENSITY,angleadjusted,radnorm,xc,yc,radcol,,radmax,1041.024241,
116,4,45.70405356,5.378712921,14.40232182,0.001716171,3.773712921,0.043902968,-0.035419885,-0.025940361,2.057474545,,,,
117,1,720.9192188,1.506583949,21.06746864,0.000891054,-0.098416051,0.69250954,0.68915852,-0.068044087,3.009638378,,,,
118,1,358.4263015,1.411199464,22.30932808,0.000891054,-0.193800536,0.34430159,0.337856051,-0.066308928,3.187046868,,,,
119,1,851.8711699,1.441412313,6.265836239,0.000891054,-0.163587687,0.818300992,0.80737614,-0.133267711,0.895119463,,,,
120,1,788.891059,1.413846048,10.73495579,0.000891054,-0.191153952,0.757802775,0.743999888,-0.14397643,1.533565113,,,,
121,3,723.4071836,4.90313206,22.83817291,0.000166775,3.29813206,0.69489946,-0.686402721,-0.108335429,3.26259613,,,,
122,4,479.3313973,5.06486761,17.75114059,0.001716171,3.45986761,0.460442109,-0.437317162,-0.144085514,2.535877228,,,,
123,4,390.4213912,5.306654421,20.12717056,0.001716171,3.701654421,0.375035831,-0.317738719,-0.199233483,2.87531008,,,,
124,4,952.3276389,5.054453486,9.933735847,0.001716171,3.449453486,0.914798715,-0.871788504,-0.277202983,1.419105121,,,,
125,0,1012.880556,1.249505983,9.405219078,0.000121471,-0.355494017,0.972965389,0.912130396,-0.338644044,1.343602725,,,,
126,4,692.6406417,5.28386072,11.25160313,0.001716171,3.67886072,0.665345353,-0.571604889,-0.340517679,1.607371875,,,,
127,4,852.0477778,5.179009389,12.9740057,0.001716171,3.574009389,0.818470641,-0.743135026,-0.342993474,1.853429386,,,,
128,4,413.6882325,5.96367046,10.94661522,0.001716171,4.35867046,0.397385782,-0.137649867,-0.372784085,1.563802174,,,,
129,4,897.8727662,5.189089492,20.86042976,0.001716171,3.584089492,0.862489777,-0.77941937,-0.369315668,2.980061395,,,,
130,4,440.2327758,5.946603745,24.54845428,0.001716171,4.341603745,0.422884269,-0.153231023,-0.394146367,3.506922041,,,,
131,4,602.4454641,5.506340113,15.21740913,0.001716171,3.901340113,0.578704549,-0.419566566,-0.398576029,2.173915591,,,,
132,4,1038.12702,5.208949522,14.36965942,0.001716171,3.603949522,0.997216951,-0.892512843,-0.444817346,2.052808489,,,,
133,4,798.2080431,5.435987057,11.51629925,0.001716171,3.830987057,0.766752599,-0.59165035,-0.487708327,1.645185607,,,,
134,4,736.8623167,5.565315972,14.30092525,0.001716171,3.960315972,0.707824359,-0.483553107,-0.516905907,2.042989322,,,,
135,4,564.0182762,6.085237682,23.57639885,0.001716171,4.480237682,0.541791683,-0.124650902,-0.527257414,3.368056978,,,,
136,0,760.3579399,0.740762303,13.45931149,0.000121471,-0.864237697,0.730394077,0.474186525,-0.55553816,1.922758784,,,,
137,4,1005.764306,5.445587116,22.033144,0.001716171,3.840587116,0.966129573,-0.739562127,-0.621654416,3.147592,,,,
138,4,728.2306938,5.936922916,11.04789734,0.001716171,4.331922916,0.699532888,-0.259773809,-0.649510453,1.578271048,,,,
139,4,990.5080649,5.518893637,16.19562531,0.001716171,3.913893637,0.951474543,-0.681547852,-0.663924945,2.313660758,,,,
140,4,917.1215272,5.627458195,13.56003094,0.001716171,4.022458195,0.880979991,-0.560729492,-0.67949112,1.937147277,,,,
141,4,888.636228,5.713929115,17.24082375,0.001716171,4.108929115,0.853617229,-0.4844232,-0.702848872,2.462974821,,,,
142,4,877.4558289,5.753078222,9.739279747,0.001716171,4.148078222,0.842877422,-0.450799135,-0.712195541,1.391325678,,,,
143,4,917.9375249,5.785118601,22.89678574,0.001716171,4.180118601,0.881763833,-0.447487153,-0.759778063,3.270969391,,,,
144,4,1021.398726,6.021744304,14.73207855,0.001716171,4.416744304,0.981147878,-0.285863927,-0.938580297,2.10458265,,,,
145,2,1018.733101,2.626781361,9.832585335,0.00838389,1.021781361,0.978587299,0.510673052,0.834773105,1.404655048,,,,
146,2,810.0472415,3.308768849,16.42373848,0.00838389,1.703768849,0.778125244,-0.103164627,0.771256089,2.346248354,,,,
147,2,725.1840974,2.966200609,16.24818039,0.00838389,1.361200609,0.69660635,0.14493904,0.681361198,2.321168627,,,,
148,2,699.8532055,3.515755507,7.256146431,0.00838389,1.910755507,0.672273687,-0.224168726,0.633798306,1.036592347,,,,
149,4,855.8924422,5.026571241,5.099019527,0.001716171,3.421571241,0.822163796,-0.790149852,-0.22719269,0.728431361,,,,
150,0,976.7595003,1.007024394,12.51780319,0.000121471,-0.597975606,0.938267776,0.77545672,-0.528217091,1.788257599,,,,
