"","X","geplaatst","omschrijving","kunstenaar","locatie","wijk.buurt","materiaal","image","imageURL","type"
"140","Centrum_32","1889","Reliëfs (o.a. Hoorn des overvloeds, Mijnwerker)","onbekend","Stationsplein, Station Amsterdam Centraal (middenschip)","Stationseiland","natuursteen","//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Reli%C3%ABf_CS.JPG/150px-Reli%C3%ABf_CS.JPG","https://upload.wikimedia.org/wikipedia/commons/b/b1/Reli%C3%ABf_CS.JPG","NA"
"141","Centrum_33","1889 [7]","F.W. Conrad, B.H. Goudriaan, L.J.A. van der Kun","Noppeney, Matthias Matthias Noppeney, naar een schets van P.J.H. Cuypers","Stationsplein, Station Amsterdam Centraal (westerflank)","Stationseiland","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Conrad_Goudriaan_Kun_Matthias_Noppeney_Amsterdam_Centraal_Statiomn.jpg/150px-Conrad_Goudriaan_Kun_Matthias_Noppeney_Amsterdam_Centraal_Statiomn.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d8/Conrad_Goudriaan_Kun_Matthias_Noppeney_Amsterdam_Centraal_Statiomn.jpg","NA"
"142","Centrum_34","1889 [7]","Natuurkunde, Meetkunde, Werktuigkunde","Noppeney, Matthias Matthias Noppeney, naar een schets van P.J.H. Cuypers","Stationsplein, Station Amsterdam Centraal (westerflank)","Stationseiland","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/0/05/Relief_Natuurkunde%2C_Meetkunde%2C_Werktuigkunde%2C_Amsterdam_Centraal_Station.jpg/150px-Relief_Natuurkunde%2C_Meetkunde%2C_Werktuigkunde%2C_Amsterdam_Centraal_Station.jpg","https://upload.wikimedia.org/wikipedia/commons/0/05/Relief_Natuurkunde%2C_Meetkunde%2C_Werktuigkunde%2C_Amsterdam_Centraal_Station.jpg","NA"
"143","Centrum_35","1889","Reliëf
(vier dagdelen) [8][9][10][11]","onbekend","Stationsplein, Station Amsterdam Centraal (westerflank)","Stationseiland","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Relief_De_Ochtend%2C_Amsterdam_Centraal_Station.jpg/150px-Relief_De_Ochtend%2C_Amsterdam_Centraal_Station.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7d/Relief_De_Ochtend%2C_Amsterdam_Centraal_Station.jpg","NA"
"144","Centrum_36","1889 [7]","Schilddrager van den koning","onbekend","Stationsplein, Station Amsterdam Centraal (oosterflank; Koningspaviljoen)","Stationseiland","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Schilddrager_van_den_koning%2C_Amsterdam_Centraal_Station.jpg/150px-Schilddrager_van_den_koning%2C_Amsterdam_Centraal_Station.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4c/Schilddrager_van_den_koning%2C_Amsterdam_Centraal_Station.jpg","NA"
"145","Centrum_37","1889 [7]","Alliantiewapen Oranje-Nasau en Waldeck-Pyrmont","onbekend","Stationsplein, Station Amsterdam Centraal (oosterflank; Koningspaviljoen)","Stationseiland","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Alliantiewapen_Oranje-Nasau_en_Waldeck-Pyrmont%2C_Amsterdam_Centraal_Station.jpg/150px-Alliantiewapen_Oranje-Nasau_en_Waldeck-Pyrmont%2C_Amsterdam_Centraal_Station.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3d/Alliantiewapen_Oranje-Nasau_en_Waldeck-Pyrmont%2C_Amsterdam_Centraal_Station.jpg","NA"
"146","Centrum_38","1889","Wapenschild","onbekend","Stationsplein, Station Amsterdam Centraal (oosterflank; Koningspaviljoen)","Stationseiland","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Wapenschild%2C_Amsterdam_Centraal_Station.jpg/150px-Wapenschild%2C_Amsterdam_Centraal_Station.jpg","https://upload.wikimedia.org/wikipedia/commons/6/68/Wapenschild%2C_Amsterdam_Centraal_Station.jpg","NA"
"147","Centrum_39","1889 [7]","Reliëf omlijsting gedicht","Roskam, Eduard Eduard Roskam met een gedicht van J.A. Alberdingk Thijm","Stationsplein, Station Amsterdam Centraal (oosterflank; Koningspaviljoen)","Stationseiland","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Gedicht_Alberdingk_Thijm_Eduard_Roskam_Amsterdam_Centraal_Station.jpg/150px-Gedicht_Alberdingk_Thijm_Eduard_Roskam_Amsterdam_Centraal_Station.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b4/Gedicht_Alberdingk_Thijm_Eduard_Roskam_Amsterdam_Centraal_Station.jpg","NA"
"148","Centrum_4","1625-1630 [2]","gevelsteen De bode op Emden","onbekend","Zeedijk 84","Oudezijde","steen","//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/De_bode_op_Emden_Zeedijk84_Amsterdam.jpg/150px-De_bode_op_Emden_Zeedijk84_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c4/De_bode_op_Emden_Zeedijk84_Amsterdam.jpg","NA"
"149","Centrum_40","1889 [7]","Reliëfs kinderfriezen","Roskam, Eduard Eduard Roskam","Stationsplein, Station Amsterdam Centraal (oosterflank; Koningspaviljoen)","Stationseiland","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/5/57/Afscheid%2C_vertrek_en_reis%2C_Amsterdam_Centraal_Station.jpg/150px-Afscheid%2C_vertrek_en_reis%2C_Amsterdam_Centraal_Station.jpg","https://upload.wikimedia.org/wikipedia/commons/5/57/Afscheid%2C_vertrek_en_reis%2C_Amsterdam_Centraal_Station.jpg","NA"
"150","Centrum_41","1891","Westerman Monument","Hove, Bart van Bart van Hove","Artis, Hollandse Tuin","Plantage","steen, brons en ander materiaal","//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Artis_Westerman_monument_1891_Bart_van_Hove.JPG/150px-Artis_Westerman_monument_1891_Bart_van_Hove.JPG","https://upload.wikimedia.org/wikipedia/commons/a/ae/Artis_Westerman_monument_1891_Bart_van_Hove.JPG","NA"
"151","Centrum_42","1898","Fontein ter herinnering aan A.C. Wertheim","Ingenohl, Jonas Jonas Ingenohl","Wertheimpark (Plantage Middenlaan / Plantage Parklaan)","Plantage","natuursteen","//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Wertheimpark_fontein.jpg/150px-Wertheimpark_fontein.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2f/Wertheimpark_fontein.jpg","NA"
"152","Centrum_43","1903","Jan Pieterszoon Coen, Gijsbrecht van Amstel, Hugo de Groot","Zijl, Lambertus Lambertus Zijl","Damrak / Oudebrugsteeg (Beurs van Berlage)","Oudezijde","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Jan_Pieterzoon_Coen_Lambertus_Zijl_Beurs_van_Berlage_Damrak_Amsterdam.jpg/50px-Jan_Pieterzoon_Coen_Lambertus_Zijl_Beurs_van_Berlage_Damrak_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5b/Jan_Pieterzoon_Coen_Lambertus_Zijl_Beurs_van_Berlage_Damrak_Amsterdam.jpg","NA"
"153","Centrum_44","1905","De dingen des levens","Mendes da Costa, Joseph Joseph Mendes da Costa","Damrak / Karnemelksteeg (De Utrecht)","Oudezijde","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/De_dingen_des_levens_Joseph_Mendes_da_Costa_Damrak_Amsterdam.jpg/150px-De_dingen_des_levens_Joseph_Mendes_da_Costa_Damrak_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/b/bd/De_dingen_des_levens_Joseph_Mendes_da_Costa_Damrak_Amsterdam.jpg","NA"
"154","Centrum_45","1907","Twee jachthonden","Cain, Auguste Auguste Cain","Artis","Plantage","brons","//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Jachthond_1_Artis.JPG/150px-Jachthond_1_Artis.JPG","https://upload.wikimedia.org/wikipedia/commons/f/f3/Jachthond_1_Artis.JPG","NA"
"155","Centrum_46","1918 / 2004","gevelsteen Jan van der Heyden Gevelversiering","van Arkel, Gerrit Gerrit van Arkel","Koestraat 5","Oudezijde","natuursteen","//upload.wikimedia.org/wikipedia/commons/thumb/5/58/Gevelsteen_Jan_van_der_Heyden._Koestraat_5.JPG/150px-Gevelsteen_Jan_van_der_Heyden._Koestraat_5.JPG","https://upload.wikimedia.org/wikipedia/commons/5/58/Gevelsteen_Jan_van_der_Heyden._Koestraat_5.JPG","NA"
"156","Centrum_47","1916","Fabeldier","Krop, Hildo Hildo Krop","Brug nr. 29, Leidsestraat","Grachtengordel","steen","//upload.wikimedia.org/wikipedia/commons/thumb/9/90/Detail_Koningssluis.JPG/150px-Detail_Koningssluis.JPG","https://upload.wikimedia.org/wikipedia/commons/9/90/Detail_Koningssluis.JPG","NA"
"157","Centrum_48","1917","Dierenkoppen (2 leeuwen en 2 nijlpaarden op de hoeken van de brug)","Polet, Johan Johan Polet (brug ontworpen door Piet Kramer, die opdracht gaf voor de kunstwerken)","Nijlpaardenbrug (brug nr, 174), bij Leidseplein","Grachtengordel","graniet","//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Beeldhouwwerk_brug_-_Amsterdam_-_20018840_-_RCE.jpg/150px-Beeldhouwwerk_brug_-_Amsterdam_-_20018840_-_RCE.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e9/Beeldhouwwerk_brug_-_Amsterdam_-_20018840_-_RCE.jpg","NA"
"158","Centrum_49","1918","Zacharias Jansen","Polet, Dirk Dirk Polet","Wijde Kapelsteeg",NA,"onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Zacharias_Jansen_Dirk_Polet_Rokin_Wijde_Kapelsteeg_Amsterdam.jpg/150px-Zacharias_Jansen_Dirk_Polet_Rokin_Wijde_Kapelsteeg_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d4/Zacharias_Jansen_Dirk_Polet_Rokin_Wijde_Kapelsteeg_Amsterdam.jpg","NA"
"159","Centrum_5","1660","Ornamenten op gevel van de Admiraliteitsbaan","onbekend","Oostenburgergracht 79","Oostelijke eilanden","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Gevel_Oostenburgergracht_79%2C_Amsterdam.jpg/150px-Gevel_Oostenburgergracht_79%2C_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f3/Gevel_Oostenburgergracht_79%2C_Amsterdam.jpg","NA"
"160","Centrum_50","1918","Fluisterende Muren","Duncker, Jac. Jac. Duncker","Nieuwezijds Voorburgwal 60","Nieuwezijde","natuursteen","//upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Detail_De_Standaard_Jac_Duncker_Nieuwezijds_Voorburgwal_Amsterdam.JPG/150px-Detail_De_Standaard_Jac_Duncker_Nieuwezijds_Voorburgwal_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/c/c9/Detail_De_Standaard_Jac_Duncker_Nieuwezijds_Voorburgwal_Amsterdam.JPG","NA"
"161","Centrum_51","1919","Zuigeling","onbekend","Turfmarkt (Grimburgwal)","Oudezijde","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Relief_Zuigeling_Administratiegebouw_Binnengasthuis_Amsterdam.jpg/150px-Relief_Zuigeling_Administratiegebouw_Binnengasthuis_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2e/Relief_Zuigeling_Administratiegebouw_Binnengasthuis_Amsterdam.jpg","NA"
"162","Centrum_52","1920","Heilig Hartbeeld","Maas, Johannes Petrus Johannes Petrus Maas","Begijnhof","Nieuwezijde","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Jezus_hart_Begijnhof.jpg/150px-Jezus_hart_Begijnhof.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c8/Jezus_hart_Begijnhof.jpg","NA"
"163","Centrum_53","1923","Visarend","Krop, Hildo Hildo Krop","Nieuwe Achtergracht","Grachtengordel","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Visarend_Hildo_Krop_Weesperstraat_Amsterdam.JPG/150px-Visarend_Hildo_Krop_Weesperstraat_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/8/8c/Visarend_Hildo_Krop_Weesperstraat_Amsterdam.JPG","NA"
"164","Centrum_54","1924","Gevelversiering","Krop, Hildo Hildo Krop","Oudezijds Voorburgwal, Prinsenhof","Oudezijde","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/4/44/Prinsenhof_Hildo_Krop.JPG/150px-Prinsenhof_Hildo_Krop.JPG","https://upload.wikimedia.org/wikipedia/commons/4/44/Prinsenhof_Hildo_Krop.JPG","NA"
"165","Centrum_55","1925","Insulinde en Europa","Mendes da Costa, Joseph Joseph Mendes da Costa","Vijzelstraat, gebouw De Bazel","Grachtengordel","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Detail_De_Bazel.jpg/150px-Detail_De_Bazel.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2d/Detail_De_Bazel.jpg","NA"
"166","Centrum_56","1925","Handel en Nijverheid","Zijl, Lambertus Lambertus Zijl","Vijzelstraat, gebouw De Bazel","Grachtengordel","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Gevelsteen_De_Bazel.jpg/150px-Gevelsteen_De_Bazel.jpg","https://upload.wikimedia.org/wikipedia/commons/e/ea/Gevelsteen_De_Bazel.jpg","NA"
"167","Centrum_57","1925","Scheepvaart","Zijl, Lambertus Lambertus Zijl","Vijzelstraat, gebouw De Bazel","Grachtengordel","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Gevelsteen_Scheepvaart.JPG/150px-Gevelsteen_Scheepvaart.JPG","https://upload.wikimedia.org/wikipedia/commons/7/7d/Gevelsteen_Scheepvaart.JPG","NA"
"168","Centrum_58","1926","Hendrik Petrus Berlage","Zijl, Lambertus Lambertus Zijl","Damrak (Beurs van Berlage)","Oudezijde","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Relief_Berlage_Lambertus_Zijl_Beurs_van_Berlage_Damrak_Amsterdam.jpg/150px-Relief_Berlage_Lambertus_Zijl_Beurs_van_Berlage_Damrak_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cf/Relief_Berlage_Lambertus_Zijl_Beurs_van_Berlage_Damrak_Amsterdam.jpg","NA"
"170","Centrum_6","1655","Gebeeldehouwde figuren op fronton van het Scheepvaartmuseum","leerlingen van Quellinus, Artus Artus Quellinus","Kattenburgerplein","Oostelijke eilanden","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Fronton_Scheepvaartmuseum.JPG/150px-Fronton_Scheepvaartmuseum.JPG","https://upload.wikimedia.org/wikipedia/commons/a/a3/Fronton_Scheepvaartmuseum.JPG","NA"
"171","Centrum_60","1926","Volksredenaar","Krop, Hildo Hildo Krop","Oudezijds Voorburgwal","Oudezijde","steen","//upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Hildo_Krop_Urinoir.JPG/150px-Hildo_Krop_Urinoir.JPG","https://upload.wikimedia.org/wikipedia/commons/c/cb/Hildo_Krop_Urinoir.JPG","NA"
"172","Centrum_61","1927","Mercurius","onbekend","Beursplein / Papenbrugsteeg (Effectenbeurs)","Oudezijde","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/8/87/Mercurius_Beursplein_5_Papenbrugsteeg_Amsterdam.jpg/150px-Mercurius_Beursplein_5_Papenbrugsteeg_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/8/87/Mercurius_Beursplein_5_Papenbrugsteeg_Amsterdam.jpg","NA"
"173","Centrum_62","1927 / 1990","Grafmonument van Coenraad Kerbert","Klinkenberg, Samuel Samuel Klinkenberg en Ben Wierink","Artis","Plantage","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Coenraad_Kerbert_grafmonument.JPG/150px-Coenraad_Kerbert_grafmonument.JPG","https://upload.wikimedia.org/wikipedia/commons/f/f4/Coenraad_Kerbert_grafmonument.JPG","NA"
"174","Centrum_63","1928","Gevelbeelden American Hotel","Vos, Theo Theo Vos","Leidsekade (American Hotel uitbreiding)","Grachtengordel","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/1/16/Culturen_Theo_Vos_American_Leidsekade_Amsterdam.jpg/150px-Culturen_Theo_Vos_American_Leidsekade_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/1/16/Culturen_Theo_Vos_American_Leidsekade_Amsterdam.jpg","NA"
"175","Centrum_64","1930-1932","Bouwsculpturen","Krop, Hildo Hildo Krop","Nieuwe Achtergracht 129, Voormalig Van der Waalslaboratorium,","Roeterseiland","steen / consolesteen 2 afbeeldingen","//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/BOUWSCULPTUUR_%28HILDO_KROP%2C_1930-%2732%29_-_Amsterdam_-_20372886_-_RCE.jpg/75px-BOUWSCULPTUUR_%28HILDO_KROP%2C_1930-%2732%29_-_Amsterdam_-_20372886_-_RCE.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a2/BOUWSCULPTUUR_%28HILDO_KROP%2C_1930-%2732%29_-_Amsterdam_-_20372886_-_RCE.jpg","NA"
"176","Centrum_65","1938","Leeuw met prooi","Kaas, Jaap Jaap Kaas","Artis","Plantage","kalksteen","//upload.wikimedia.org/wikipedia/commons/thumb/6/67/Beeld_van_een_leeuw%2C_links_naast_de_ingang_van_het_hoofdgebouw_van_Artis_-_Amsterdam_-_20280996_-_RCE.jpg/150px-Beeld_van_een_leeuw%2C_links_naast_de_ingang_van_het_hoofdgebouw_van_Artis_-_Amsterdam_-_20280996_-_RCE.jpg","https://upload.wikimedia.org/wikipedia/commons/6/67/Beeld_van_een_leeuw%2C_links_naast_de_ingang_van_het_hoofdgebouw_van_Artis_-_Amsterdam_-_20280996_-_RCE.jpg","NA"
"177","Centrum_66","1938","Tijger met prooi","Kaas, Jaap Jaap Kaas","Artis","Plantage","kalksteen","//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Artis_Leeuw_met_prooi_1938_Jaap_Kaas.JPG/150px-Artis_Leeuw_met_prooi_1938_Jaap_Kaas.JPG","https://upload.wikimedia.org/wikipedia/commons/f/fc/Artis_Leeuw_met_prooi_1938_Jaap_Kaas.JPG","NA"
"178","Centrum_67","1947","Monument gefusilleerden","Krop, Hildo Hildo Krop","Marnixstraat","Grachtengordel","brons","//upload.wikimedia.org/wikipedia/commons/thumb/3/37/Sculptuur_van_het_Monument_aan_de_Marnixstraat.jpg/150px-Sculptuur_van_het_Monument_aan_de_Marnixstraat.jpg","https://upload.wikimedia.org/wikipedia/commons/3/37/Sculptuur_van_het_Monument_aan_de_Marnixstraat.jpg","NA"
"179","Centrum_68","1947","Monument Tweede Wereldoorlog","Stauthamer, Cephas Cephas Stauthamer","Valkenburgerstraat / Anne Frankstraat",NA,"brons","//upload.wikimedia.org/wikipedia/commons/thumb/9/94/WWII_Monument_Stauthamer_Valkenburgerstraat_Amsterdam.jpg/150px-WWII_Monument_Stauthamer_Valkenburgerstraat_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/9/94/WWII_Monument_Stauthamer_Valkenburgerstraat_Amsterdam.jpg","NA"
"180","Centrum_69","1948","Vrouwe Fortuna","Krop, Hildo Hildo Krop","Muntplein","Nieuwezijde","brons","//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Vrouwe_Fortuna_Muntplein_door_Hildo_Krop.jpg/150px-Vrouwe_Fortuna_Muntplein_door_Hildo_Krop.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e0/Vrouwe_Fortuna_Muntplein_door_Hildo_Krop.jpg","NA"
"181","Centrum_7","1655","Reliëf achterzijde van het Scheepvaartmuseum","onbekend","Kattenburgerplein","Oostelijke eilanden","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Reli%C3%ABf_achterzijde_Scheepvaartmuseum.JPG/150px-Reli%C3%ABf_achterzijde_Scheepvaartmuseum.JPG","https://upload.wikimedia.org/wikipedia/commons/7/7d/Reli%C3%ABf_achterzijde_Scheepvaartmuseum.JPG","NA"
"182","Centrum_70","1948","Samuel Coster","Braat, Leo Leo Braat","Leidseplein","Grachtengordel","brons","//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Samuel_Coster_Leidseplein.jpg/150px-Samuel_Coster_Leidseplein.jpg","https://upload.wikimedia.org/wikipedia/commons/7/77/Samuel_Coster_Leidseplein.jpg","NA"
"183","Centrum_71","1949","Gedenkteken voor gevallen oud-kwekelingen van de Kweekschool voor de Zeevaart","Starreveld, Pieter Pieter Starreveld","Marineterrein / Voorwerf [13]","Oostelijke eilanden","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Gedenksteen_Marineterrein.JPG/150px-Gedenksteen_Marineterrein.JPG","https://upload.wikimedia.org/wikipedia/commons/f/f1/Gedenksteen_Marineterrein.JPG","NA"
"184","Centrum_72","1950","Monument van Joodse Erkentelijkheid","Wertheim, Jobs Jobs Wertheim","Weesperstraat","Grachtengordel","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/2/29/Monument_van_Joodse_Erkentelijkheid_Johan_Gustaaf_Wertheim_Amsterdam_v1.JPG/150px-Monument_van_Joodse_Erkentelijkheid_Johan_Gustaaf_Wertheim_Amsterdam_v1.JPG","https://upload.wikimedia.org/wikipedia/commons/2/29/Monument_van_Joodse_Erkentelijkheid_Johan_Gustaaf_Wertheim_Amsterdam_v1.JPG","NA"
"185","Centrum_73","1950","Oorlogsgedenkteken 1940-1945","Hoek, Ezechiel Jacob Ezechiel Jacob Hoek","Noordermarkt, gevel Noorderkerk","Jordaan","brons","//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Gedenkteken_voor_de_Jordaanbewoners_Noordermarkt_Amsterdam.jpg/150px-Gedenkteken_voor_de_Jordaanbewoners_Noordermarkt_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3c/Gedenkteken_voor_de_Jordaanbewoners_Noordermarkt_Amsterdam.jpg","NA"
"186","Centrum_74","1952","De Dokwerker","Andriessen, Mari Mari Andriessen","Jonas Daniël Meijerplein",NA,"brons","//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Dokwerker_%28Amsterdam%29.JPG/150px-Dokwerker_%28Amsterdam%29.JPG","https://upload.wikimedia.org/wikipedia/commons/8/85/Dokwerker_%28Amsterdam%29.JPG","NA"
"187","Centrum_75","1952","Worstelaars","Reijers, Willem Willem Reijers","Oostenburgergracht","Oostelijke eilanden","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Gevel_Het_Werktheater%2C_Amsterdam.jpg/150px-Gevel_Het_Werktheater%2C_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cf/Gevel_Het_Werktheater%2C_Amsterdam.jpg","NA"
"188","Centrum_76","1952","De Engel","Richters, Han Han Richters","Blankenstraat","Oostelijke eilanden","steen","//upload.wikimedia.org/wikipedia/commons/thumb/7/78/De_Engel_%28Amsterdam%29_van_Han_Richters_foto_1.jpg/150px-De_Engel_%28Amsterdam%29_van_Han_Richters_foto_1.jpg","https://upload.wikimedia.org/wikipedia/commons/7/78/De_Engel_%28Amsterdam%29_van_Han_Richters_foto_1.jpg","NA"
"189","Centrum_77","1954","Fusillade
De Gevallen Hoornblazer
Bijnaam: De keeper","Bolhuis, Gerrit Gerrit Bolhuis","Eerste Weteringplantsoen","Grachtengordel","brons","//upload.wikimedia.org/wikipedia/commons/thumb/3/37/Gevallen.hoornblazer.jpg/150px-Gevallen.hoornblazer.jpg","https://upload.wikimedia.org/wikipedia/commons/3/37/Gevallen.hoornblazer.jpg","NA"
"190","Centrum_78","1956","Nationaal Monument","Jacobus Johannes Pieter Oud
John Rädecker
Paul Grégoire","Dam","Oudezijde","beton, travertijn","//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Amsterdam_nationaal_monument_op_de_dam_februari_2003.jpg/150px-Amsterdam_nationaal_monument_op_de_dam_februari_2003.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fd/Amsterdam_nationaal_monument_op_de_dam_februari_2003.jpg","NA"
"191","Centrum_79","1960 [14]","Kardinaal Willem Van Rossum","Hoppen, Gerard Gerard Hoppen","Begijnhof","Nieuwezijde","brons","//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/KardinaalVanRossum_Begijnhof.jpg/150px-KardinaalVanRossum_Begijnhof.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4f/KardinaalVanRossum_Begijnhof.jpg","NA"
"192","Centrum_8","18e eeuw","Tuinvaas met zeetaferelen","anoniem","Artis","Plantage","lood","//upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Tuinvaas_Artis.JPG/150px-Tuinvaas_Artis.JPG","https://upload.wikimedia.org/wikipedia/commons/f/f5/Tuinvaas_Artis.JPG","NA"
"193","Centrum_80","1960","Het Lieverdje","Kneulman, Carel Carel Kneulman","Spui","Nieuwezijde","brons","//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Lieverdje_Amsterdam.jpg/150px-Lieverdje_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/e/ec/Lieverdje_Amsterdam.jpg","NA"
"194","Centrum_81","1960 / 1977 (5 jaar na de dood van Jaap Kaas in Artis geplaatst)","Hangbuikzwijn","Kaas, Jaap Jaap Kaas","Artis","Plantage","brons","//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Hangbuikzwijn_Artis.JPG/150px-Hangbuikzwijn_Artis.JPG","https://upload.wikimedia.org/wikipedia/commons/b/b4/Hangbuikzwijn_Artis.JPG","NA"
"195","Centrum_82","1963","La Demeure Humaine","Zadkine, Ossip Ossip Zadkine","Westeinde,[15] bij Frederiksplein","Grachtengordel","brons","//upload.wikimedia.org/wikipedia/commons/thumb/0/01/La_Demeure_Humaine.jpg/150px-La_Demeure_Humaine.jpg","https://upload.wikimedia.org/wikipedia/commons/0/01/La_Demeure_Humaine.jpg","NA"
"196","Centrum_83","1965 / 2006 [16]","Hans Snoek fontein","Rueter, Gerarda Gerarda Rueter","Leidseplein","Grachtengordel","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Hans_Snoek_fontein%2C_Amsterdam.jpeg/150px-Hans_Snoek_fontein%2C_Amsterdam.jpeg","https://upload.wikimedia.org/wikipedia/commons/3/3c/Hans_Snoek_fontein%2C_Amsterdam.jpeg","NA"
"197","Centrum_84","1967 [17]","Monument ter nagedachtenis aan M.S. Vaz Dias","Heide, Herman van der Herman van der Heide","Weesperstraat","Grachtengordel","metaal","//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Vaz_Dias_Herman_van_der_Heide_Weesperstraat_Amsterdam.jpg/150px-Vaz_Dias_Herman_van_der_Heide_Weesperstraat_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0a/Vaz_Dias_Herman_van_der_Heide_Weesperstraat_Amsterdam.jpg","NA"
"198","Centrum_85","1967","Volksvrouw","Henriët, Henk Henk Henriët","Marnixplein","Grachtengordel","brons","//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Volksvrouw.jpg/150px-Volksvrouw.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f0/Volksvrouw.jpg","NA"
"199","Centrum_86","1968","Jonas en de Walvis","Jonk, Nic Nic Jonk","Damrak","Oudezijde","brons","//upload.wikimedia.org/wikipedia/commons/thumb/5/58/JonasEnDeWalvis_NicJonk_Amsterdam.JPG/150px-JonasEnDeWalvis_NicJonk_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/5/58/JonasEnDeWalvis_NicJonk_Amsterdam.JPG","NA"
