"","X","geplaatst","omschrijving","kunstenaar","locatie","wijk.buurt","materiaal","image","imageURL","type"
"43","Centrum_137","1989","3 bomen, 6 lenzen","Puckey, Thom Thom Puckey","Binengasthuisstraat","Oudezijde","brons","//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Thom_Puckey_3_Bomen_Amsterdam.jpg/150px-Thom_Puckey_3_Bomen_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/7/71/Thom_Puckey_3_Bomen_Amsterdam.jpg","NA"
"44","Centrum_138","1990 (22 april: Wereldaardedag)","De Gashopper II","Daniël, Hanz Hanz Daniël","Haarlemmerplein","Haarlemmerbuurt","ijzer, schokbrekers en iepenhout","//upload.wikimedia.org/wikipedia/commons/thumb/d/db/Gashopper_II.jpg/150px-Gashopper_II.jpg","https://upload.wikimedia.org/wikipedia/commons/d/db/Gashopper_II.jpg","NA"
"45","Centrum_139","1990","Arion","Mannetje, Hans 't Hans 't Mannetje","Hoogte Kadijk","Kadijken","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/0/05/Gevelsteen_Arion%2C_Hoogte_Kadijk%2C_Amsterdam.jpg/150px-Gevelsteen_Arion%2C_Hoogte_Kadijk%2C_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/0/05/Gevelsteen_Arion%2C_Hoogte_Kadijk%2C_Amsterdam.jpg","NA"
"46","Centrum_14","1867","Standbeeld van Johan Rudolph Thorbecke","Leenhoff, Ferdinand Ferdinand Leenhoff","Thorbeckeplein","Grachtengordel","brons","//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Thorbecke_statue_Amsterdam.jpg/150px-Thorbecke_statue_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cc/Thorbecke_statue_Amsterdam.jpg","NA"
"47","Centrum_140","1990","gevelsteen I.C.CK.C. MEN","Mannetje, Hans 't Hans 't Mannetje","Kalkmarkt 8",NA,"steen","//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Kalkmarkt8.jpg/150px-Kalkmarkt8.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cc/Kalkmarkt8.jpg","NA"
"48","Centrum_141","1991","Violist","De Onbekende Beeldhouwer","Stopera, Amstel 1",NA,"brons","//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Violist_Amsterdam_Stopera.jpg/150px-Violist_Amsterdam_Stopera.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f0/Violist_Amsterdam_Stopera.jpg","NA"
"49","Centrum_142","1991","Mbulu Ngulu","Schabracq, Alexander Alexander Schabracq","Czaar Peterstraat / Oostenburgergracht","Czaar Peterbuurt","geschilderd brons","//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Mbulu_Ngulu%2C_Amsterdam.jpg/150px-Mbulu_Ngulu%2C_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9d/Mbulu_Ngulu%2C_Amsterdam.jpg","NA"
"50","Centrum_143","1991","Johnny Jordaan","Verkade, Kees Kees Verkade","Johnny Jordaanplein / Elandsgracht","Jordaan","brons","//upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Johnny_Jordaan.jpg/150px-Johnny_Jordaan.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3b/Johnny_Jordaan.jpg","NA"
"51","Centrum_144","1992","gevelsteen Liggend naakt en kunstschilder","Veldhoen, Aat Aat Veldhoen","Wittenburgergracht 241","Oostelijke eilanden","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Gevelsteen_Liggend_Naakt%2C_Wittenburgergracht%2C_Amsterdam.jpg/150px-Gevelsteen_Liggend_Naakt%2C_Wittenburgergracht%2C_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d1/Gevelsteen_Liggend_Naakt%2C_Wittenburgergracht%2C_Amsterdam.jpg","NA"
"52","Centrum_145","1992","Gedenksteen 4 mei","Zaanen, Pieter Pieter Zaanen","Kleine-Gartmanplantsoen","Grachtengordel","roestvast staal, graniet, metaal","//upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Gedenksteen_Pieter_Zaanen.JPG/150px-Gedenksteen_Pieter_Zaanen.JPG","https://upload.wikimedia.org/wikipedia/commons/1/1e/Gedenksteen_Pieter_Zaanen.JPG","NA"
"53","Centrum_146","1992","Reliëf voor Boudewijn de Court Onderwater","Snoep en Vermeer, Snoep en Vermeer","Sint Olofskapel, Zeedijk","Oudezijde","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Sint_Olofskapel2_of_Oudezijds_Kapel_Zeedijk2A_Amsterdam.jpg/150px-Sint_Olofskapel2_of_Oudezijds_Kapel_Zeedijk2A_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/4/41/Sint_Olofskapel2_of_Oudezijds_Kapel_Zeedijk2A_Amsterdam.jpg","NA"
"54","Centrum_147","1992","Danser","Visch, Henk Henk Visch","Kazernestraat","Grachtengordel","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Danser_Henk_Visch_Johanna_ter_Meulenplein.jpg/150px-Danser_Henk_Visch_Johanna_ter_Meulenplein.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c2/Danser_Henk_Visch_Johanna_ter_Meulenplein.jpg","NA"
"55","Centrum_148","1993 (replica uit 1891) [20]","De Gekroonde Valk","Edwards, Mike Mike Edwards","Hoogte Kadijk","Kadijken","bakstenen pilaar van 5,5 meter hoog en brons|bronzen]] valk","//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/De_gekroonde_valk_hoogte_kadijk_amsterdam.jpg/150px-De_gekroonde_valk_hoogte_kadijk_amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a0/De_gekroonde_valk_hoogte_kadijk_amsterdam.jpg","NA"
"56","Centrum_149","1993 (op deze plek)","Auschwitzmonument Gebroken spiegels","Wolkers, Jan Jan Wolkers","Wertheimpark (Plantage Parklaan)","Plantage","glas","//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Auschwitz_monument_amsterdam.JPG/150px-Auschwitz_monument_amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/d/d9/Auschwitz_monument_amsterdam.JPG","NA"
